seller_id,seller_state,seller_city,orders,avg_delivery_risk_score,late_delivery_rate,total_revenue,total_freight
7e3f87d16fb353f408d467e74fbd8014,SP,sao paulo,90,10.78,0.1222,4593.19,1402.59
729f06993dac8e860d4f02d7088ca48a,SP,limeira,91,10.73,0.1209,19650.48,4804.13
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,teresopolis,165,10.73,0.0788,79292.7,3948.56
97512d3fc193b2d1dfcdba0f9d1f0f8a,SP,sao paulo,12,10.69,0.0833,1458.87,341.55
7202e2ba20579a9bd1acb29e61fe71f6,SP,franca,51,10.64,0.0588,12085.7,1131.51
c68fb906c8f4b4b946d8386bfa6e5467,SP,jaboticabal,45,10.64,0.0222,4541.16,892.45
7586919161935337bf6b6d7ff5779648,RJ,rio de janeiro,11,10.62,0.1818,1664.71,330.22
d32e3909cfb714fb2a6cb092c85b9c5f,SP,jundiai,10,10.62,0.3,2827.9,251.0
4d0041cdbe51b4617d95c70b19decc74,MG,juiz de fora,8,10.6,0.0,5235.2,230.29
87b740daf17b5d1be335a64164ec6842,SP,suzano,10,10.6,0.1,11299.9,1111.16
850913d59ce317156b00f3705f1c3edb,SP,atibaia,28,10.59,0.1786,2141.0,498.46
fffd5413c0700ac820c7069d66d98c89,SP,amparo,54,10.58,0.1481,8284.0,2565.33
099095b050cfe8eb1ddff5317587e96e,SP,sao paulo,16,10.57,0.1875,5003.84,702.09
439a47cc365d6e3bd526812ea9de3c29,SP,mogi das cruzes,8,10.56,0.125,1186.5,224.43
1c129092bf23f28a5930387c980c0dfc,SP,sao paulo,191,10.55,0.0576,9868.43,3000.92
8ca1551acf9832a4cf467bbbac15851f,PR,campo largo,11,10.54,0.0909,2236.3,287.31
c3acdfac4e3e97ff87529454fbc03642,SP,sao paulo,12,10.52,0.0833,16788.0,269.28
d06d019f72a04e5497a0b64190af170c,SP,cotia,17,10.51,0.0588,2415.93,225.51
5d0363b33554b373851fc1622e4d5f3c,SP,atibaia,91,10.5,0.0769,6463.89,2118.01
4e7c18b98d84e05cbae3ff0ff03846c2,SP,jaboticabal,81,10.49,0.0494,9080.8,2824.56
88460e8ebdecbfecb5f9601833981930,PR,maringa,234,10.48,0.2051,31041.5,4983.87
082e0bf4cb865a6533b1e8e498cc0255,SP,botucatu,11,10.47,0.1818,2073.3,991.03
4869f7a5dfa277a7dca6462dcf3b52b2,SP,guariba,1116,10.47,0.1165,227570.44,19956.69
fdaaf5bfda82b7b80535610c831b8d09,SP,sao jose do rio preto,10,10.44,0.1,2588.9,259.42
c8b3445d737de6befde0c88ede534a5e,SP,sao paulo,30,10.44,0.0333,3317.94,661.23
a416b6a846a11724393025641d4edd5e,SP,sao paulo,157,10.44,0.1274,24930.24,2935.56
a3e9a2c700480d9bb01fba070ba80a0e,SP,ibitinga,121,10.44,0.0992,13126.5,2752.74
99eaacc9e6046db1c82b163c5f84869f,SP,franca,63,10.42,0.1111,12642.28,1081.66
2e13c71026e1a39ba5cc1b86dcb679aa,SP,sao paulo,24,10.42,0.0833,4157.0,534.02
b32be1695eb7ec5f10f72d9610a12527,RS,caxias do sul,44,10.41,0.0455,26575.0,2937.68
f262cbc1c910c83959f849465454ddd3,SP,sao paulo,189,10.4,0.0952,10219.76,2488.15
2528513dd95219a6013d4d05176e391a,SP,osasco,152,10.4,0.0526,31966.98,3637.67
70eea00b476a314817cefde4aad4f89a,SP,itatiba,104,10.39,0.0769,31191.75,2692.72
f61c63d13f7cd800549d5acdd390ae72,SP,pilar do sul,26,10.38,0.0769,3072.3,429.39
7901646fdd36a55f564ffaf2dbccaaf7,RJ,rio de janeiro,22,10.36,0.1364,11857.08,621.75
b1fc4f64df5a0e8b6913ab38803c57a9,RJ,sao goncalo,102,10.35,0.1176,7845.78,2043.14
7681ef142fd2c19048da7430856b5588,SP,guarulhos,57,10.35,0.1404,31111.81,2839.6
04aa0a1c5ce6b222003403a3e11c3cc0,SP,cosmopolis,11,10.35,0.1818,5518.0,821.51
d1c281d3ae149232351cd8c8cc885f0d,SP,ibitinga,205,10.35,0.0927,27651.79,5286.24
34056b8b55c1775a22af2331670a799c,SP,penapolis,77,10.35,0.1169,6398.7,1751.51
5ee7fd217d08dfe5d3e2f51f96a12c9a,SP,vargem grande do sul,9,10.34,0.2222,1165.5,269.68
7e1fb0a3ebfb01ffb3a7dae98bf3238d,SP,franca,154,10.33,0.1299,26073.53,2879.1
8f2ce03f928b567e3d56181ae20ae952,SP,pirituba,151,10.32,0.1523,21213.2,3756.6
08633c14ef2db992c11f840f04fad4cd,SP,ribeirao pires,71,10.32,0.0704,7310.0,1330.02
f457c46070d02cadd8a68551231220dd,PR,maringa,183,10.32,0.0656,19113.47,3709.68
14d7985702e72162bbf13b6beb74ab2b,SP,santo andre,36,10.31,0.1389,3832.0,536.93
5ef131ac72773e5b3f6c0d63cf424657,SP,ribeirao preto,10,10.31,0.0,587.69,261.93
1c5e4e49b9079480255b49d50aac1aa9,SP,santos,12,10.31,0.0,10173.11,889.61
8b2492b7ff4468839593fafeed55bad9,RJ,sao goncalo,29,10.29,0.069,3660.08,676.18
1835b56ce799e6a4dc4eddc053f04066,SP,ibitinga,398,10.28,0.1231,34300.85,8782.47
8476243f92442881ddd5b578975cf115,RS,campo bom,11,10.28,0.0909,6709.0,253.01
c794dab4928dd97beb41d05514441e86,SP,artur nogueira,16,10.28,0.125,1312.4,232.19
ff063b022a9a0aab91bad2c9088760b7,SP,santo andre,93,10.26,0.0323,12244.2,2018.04
3f3486b61f45078d4f31ee5e43d8c5bb,SP,sao paulo,39,10.24,0.1538,3769.73,883.4
39c763cca83e654764b7a4a650fb9b7c,GO,goiania,11,10.23,0.1818,761.0,223.21
